GCF_000005845.2_ASM584v2	GCF/000/005/845/GCF_000005845.2_ASM584v2	eco	GCF/000/005/845	Escherichia coli K-12 MG1655
GCA_000010245.1_ASM1024v1	GCA/000/010/245/GCA_000010245.1_ASM1024v1	ecj	GCA/000/010/245	Escherichia coli K-12 W3110
GCA_000019425.1_ASM1942v1	GCA/000/019/425/GCA_000019425.1_ASM1942v1	ecd	GCA/000/019/425	Escherichia coli K-12 DH10B
GCA_000022345.1_ASM2234v1	GCA/000/022/345/GCA_000022345.1_ASM2234v1	ebw	GCA/000/022/345	Escherichia coli BW2952
GCA_000350185.1_ASM35018v1	GCA/000/350/185/GCA_000350185.1_ASM35018v1	ecok	GCA/000/350/185	Escherichia coli K-12 MDS42
GCA_000006665.1_ASM666v1	GCA/000/006/665/GCA_000006665.1_ASM666v1	ece	GCA/000/006/665	Escherichia coli O157:H7 EDL933 (EHEC)
GCF_000008865.2_ASM886v2	GCF/000/008/865/GCF_000008865.2_ASM886v2	ecs	GCF/000/008/865	Escherichia coli O157:H7 Sakai (EHEC)
GCA_000021125.1_ASM2112v1	GCA/000/021/125/GCA_000021125.1_ASM2112v1	ecf	GCA/000/021/125	Escherichia coli O157:H7 EC4115 (EHEC)
GCA_000022225.1_ASM2222v1	GCA/000/022/225/GCA_000022225.1_ASM2222v1	etw	GCA/000/022/225	Escherichia coli O157:H7 TW14359 (EHEC)
GCA_000262125.1_ASM26212v1	GCA/000/262/125/GCA_000262125.1_ASM26212v1	elx	GCA/000/262/125	Escherichia coli O157:H7 Xuzhou21 (EHEC)
GCA_000091005.1_ASM9100v1	GCA/000/091/005/GCA_000091005.1_ASM9100v1	eoj	GCA/000/091/005	Escherichia coli O26:H11 11368 (EHEC)
GCA_000010765.1_ASM1076v1	GCA/000/010/765/GCA_000010765.1_ASM1076v1	eoi	GCA/000/010/765	Escherichia coli O111:H- 11128 (EHEC)
GCA_000010745.1_ASM1074v1	GCA/000/010/745/GCA_000010745.1_ASM1074v1	eoh	GCA/000/010/745	Escherichia coli O103:H2 12009 (EHEC)
GCA_000520035.1_ASM52003v1	GCA/000/520/035/GCA_000520035.1_ASM52003v1	ecoo	GCA/000/520/035	Escherichia coli O145:H28 RM13514 (EHEC)
GCA_000520055.1_ASM52005v1	GCA/000/520/055/GCA_000520055.1_ASM52005v1	ecoh	GCA/000/520/055	Escherichia coli O145:H28 RM13516 (EHEC)
GCA_000026545.1_ASM2654v1	GCA/000/026/545/GCA_000026545.1_ASM2654v1	ecg	GCA/000/026/545	Escherichia coli O127:H6 E2348/69 (EPEC)
GCA_000025165.1_ASM2516v1	GCA/000/025/165/GCA_000025165.1_ASM2516v1	eok	GCA/000/025/165	Escherichia coli O55:H7 CB9615 (EPEC)
GCA_000245515.1_ASM24551v1	GCA/000/245/515/GCA_000245515.1_ASM24551v1	elr	GCA/000/245/515	Escherichia coli O55:H7 RM12579 (EPEC)
GCA_000299475.1_ASM29947v1	GCA/000/299/475/GCA_000299475.1_ASM29947v1	eso	GCA/000/299/475	Escherichia coli O104:H4 2009EL-2071
GCA_000299255.1_ASM29925v1	GCA/000/299/255/GCA_000299255.1_ASM29925v1	esm	GCA/000/299/255	Escherichia coli O104:H4 2009EL-2050
GCF_000299455.1_ASM29945v1	GCF/000/299/455/GCF_000299455.1_ASM29945v1	esl	GCF/000/299/455	Escherichia coli O104:H4 2011C-3493
GCA_000017745.1_ASM1774v1	GCA/000/017/745/GCA_000017745.1_ASM1774v1	ecw	GCA/000/017/745	Escherichia coli O139:H28 E24377A (ETEC)
GCA_000210475.1_ASM21047v1	GCA/000/210/475/GCA_000210475.1_ASM21047v1	elh	GCA/000/210/475	Escherichia coli O78:H11:K80 H10407 (ETEC)
GCA_000212715.2_ASM21271v2	GCA/000/212/715/GCA_000212715.2_ASM21271v2	eun	GCA/000/212/715	Escherichia coli UMNK88 (ETEC, porcine)
GCA_000007445.1_ASM744v1	GCA/000/007/445/GCA_000007445.1_ASM744v1	ecc	GCA/000/007/445	Escherichia coli O6:K2:H1 CFT073 (UPEC)
GCA_000013305.1_ASM1330v1	GCA/000/013/305/GCA_000013305.1_ASM1330v1	ecp	GCA/000/013/305	Escherichia coli O6:K15:H31 536 (UPEC)
GCA_000013265.1_ASM1326v1	GCA/000/013/265/GCA_000013265.1_ASM1326v1	eci	GCA/000/013/265	Escherichia coli O18:K1:H7 UTI89 (UPEC)
GCA_000014845.1_ASM1484v1	GCA/000/014/845/GCA_000014845.1_ASM1484v1	ecv	GCA/000/014/845	Escherichia coli APEC O1 (APEC)
GCA_000017765.1_ASM1776v1	GCA/000/017/765/GCA_000017765.1_ASM1776v1	ecx	GCA/000/017/765	Escherichia coli O9 HS (commensal)
GCA_000019645.1_ASM1964v1	GCA/000/019/645/GCA_000019645.1_ASM1964v1	ecm	GCA/000/019/645	Escherichia coli SMS-3-5 (environmental)
GCA_000010385.1_ASM1038v1	GCA/000/010/385/GCA_000010385.1_ASM1038v1	ecy	GCA/000/010/385	Escherichia coli O152:H28 SE11 (commensal)
GCA_000026265.1_ASM2626v1	GCA/000/026/265/GCA_000026265.1_ASM2626v1	ecr	GCA/000/026/265	Escherichia coli O8 IAI1 (commensal)
GCA_000026305.1_ASM2630v1	GCA/000/026/305/GCA_000026305.1_ASM2630v1	ecq	GCA/000/026/305	Escherichia coli O81 ED1a (commensal)
GCA_000026245.1_ASM2624v1	GCA/000/026/245/GCA_000026245.1_ASM2624v1	eck	GCA/000/026/245	Escherichia coli 55989 (EAEC)
GCF_000026345.1_ASM2634v1	GCF/000/026/345/GCF_000026345.1_ASM2634v1	ect	GCF/000/026/345	Escherichia coli O7:K1 IAI39 (ExPEC)
GCA_000227625.1_ASM22762v1	GCA/000/227/625/GCA_000227625.1_ASM22762v1	eoc	GCA/000/227/625	Escherichia coli O7:K1 CE10
GCF_000026325.1_ASM2632v1	GCF/000/026/325/GCF_000026325.1_ASM2632v1	eum	GCF/000/026/325	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
GCA_000026285.2_ASM2628v2	GCA/000/026/285/GCA_000026285.2_ASM2628v2	ecz	GCA/000/026/285	Escherichia coli O45:K1:H7 S88 (ExPEC)
GCA_000027125.1_ASM2712v1	GCA/000/027/125/GCA_000027125.1_ASM2712v1	elo	GCA/000/027/125	Escherichia coli O44:H18 042 (EAEC)
GCF_000183345.1_ASM18334v1	GCF/000/183/345/GCF_000183345.1_ASM18334v1	eln	GCF/000/183/345	Escherichia coli O83:H1 NRG 857C
GCA_000010485.1_ASM1048v1	GCA/000/010/485/GCA_000010485.1_ASM1048v1	ese	GCA/000/010/485	Escherichia coli O150:H5 SE15 (commensal)
